gene,comparison,log2fc,p_value,abs_log2fc
SLC8B1,HSCT_vs_Normal,-22.86849219533775,5.479752462098492e-39,22.86849219533775
SLC8B1,PDAC_vs_Normal,-22.86849219533775,5.479752462098492e-39,22.86849219533775
SLC4A2,GCSF_vs_Normal,-19.813891131681288,5.4918586317607305e-39,19.813891131681288
SLC4A2,PDAC_vs_Normal,-19.813891131681288,5.4918586317607305e-39,19.813891131681288
SLC4A2,HSCT_vs_Normal,-19.813891131681288,5.4918586317607305e-39,19.813891131681288
SLC6A8,GCSF_vs_Normal,-21.320237608232794,5.5263014883353834e-39,21.320237608232794
SLC6A8,HSCT_vs_Normal,-21.320237608232794,5.5263014883353834e-39,21.320237608232794
SLC6A8,PDAC_vs_Normal,-21.320237608232794,5.5263014883353834e-39,21.320237608232794
SLC25A29,PDAC_vs_Normal,-20.749981032308103,5.5540076043672856e-39,20.749981032308103
SLC25A29,GCSF_vs_Normal,-20.749981032308103,5.5540076043672856e-39,20.749981032308103
SLC25A29,HSCT_vs_Normal,-20.749981032308103,5.5540076043672856e-39,20.749981032308103
SLC25A14,GCSF_vs_Normal,-21.468162811451872,5.554824540633265e-39,21.468162811451872
SLC25A14,HSCT_vs_Normal,-21.468162811451872,5.554824540633265e-39,21.468162811451872
SLC25A14,PDAC_vs_Normal,-21.468162811451872,5.554824540633265e-39,21.468162811451872
SLC25A13,PDAC_vs_Normal,-21.55441009001305,5.564227747704434e-39,21.55441009001305
SLC25A13,HSCT_vs_Normal,-21.55441009001305,5.564227747704434e-39,21.55441009001305
SLC25A13,GCSF_vs_Normal,-21.55441009001305,5.564227747704434e-39,21.55441009001305
SLC25A17,GCSF_vs_Normal,-20.383746629359734,5.572007339736608e-39,20.383746629359734
SLC25A17,HSCT_vs_Normal,-20.383746629359734,5.572007339736608e-39,20.383746629359734
SLC25A17,PDAC_vs_Normal,-20.383746629359734,5.572007339736608e-39,20.383746629359734
SLC4A8,PDAC_vs_Normal,-21.35650534667312,5.576516168895891e-39,21.35650534667312
