feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,is_slc
ZNF641,1984.0,8364.0,8260.5,7753.0,6590.375,False
MCTS1,4285.0,6066.0,8260.5,7753.0,6591.125,False
ZNF385A,4767.0,5585.0,8260.5,7753.0,6591.375,False
DSTYK,3702.0,6652.0,8260.5,7753.0,6591.875,False
DLEU7,5966.0,4388.0,8260.5,7753.0,6591.875,False
GLRX2,6044.0,4312.0,8260.5,7753.0,6592.375,False
RNASEK-C17orf49,6763.0,3593.0,8260.5,7753.0,6592.375,False
LIN37,5732.0,4624.0,8260.5,7753.0,6592.375,False
SRBD1,4557.0,5799.0,8260.5,7753.0,6592.375,False
WRNIP1,5963.0,4394.0,8260.5,7753.0,6592.625,False
NDRG3,4354.0,6007.0,8260.5,7753.0,6593.625,False
RNF220,5843.0,4524.0,8260.5,7753.0,6595.125,False
AC108673.2,5503.0,4864.0,8260.5,7753.0,6595.125,False
ERCC3,6665.0,3702.0,8260.5,7753.0,6595.125,False
KCTD7,4291.0,6077.0,8260.5,7753.0,6595.375,False
SLC30A9,5285.0,5086.0,8260.5,7753.0,6596.125,False
PRR5L,4602.0,5771.0,8260.5,7753.0,6596.625,False
RPGRIP1,6163.0,4211.0,8260.5,7753.0,6596.875,False
CSRNP2,6328.0,4047.0,8260.5,7753.0,6597.125,False
SMPD1,6133.0,4243.0,8260.5,7753.0,6597.375,False
AC125494.2,6857.0,3519.0,8260.5,7753.0,6597.375,False
MAF1,4024.0,6352.0,8260.5,7753.0,6597.375,False
TMEM273,3579.0,6798.0,8260.5,7753.0,6597.625,False
KLHDC10,5352.0,5026.0,8260.5,7753.0,6597.875,False
SORD,5375.0,5004.0,8260.5,7753.0,6598.125,False
PI4K2A,7189.0,3190.0,8260.5,7753.0,6598.125,False
ELMO3,6792.0,3588.0,8260.5,7753.0,6598.375,False
HSPA1B,5089.0,5298.0,8260.5,7753.0,6600.125,False
EIF3J,4857.0,5532.0,8260.5,7753.0,6600.625,False
CDK14,4216.0,6176.0,8260.5,7753.0,6601.375,False
TMEM168,6355.0,4037.0,8260.5,7753.0,6601.375,False
SPOCK2,6237.0,4158.0,8260.5,7753.0,6602.125,False
ETFDH,6229.0,4166.0,8260.5,7753.0,6602.125,False
CRYBG1,2796.0,7600.0,8260.5,7753.0,6602.375,False
SURF6,5507.0,4889.0,8260.5,7753.0,6602.375,False
PEX13,6537.0,3862.0,8260.5,7753.0,6603.125,False
LIG4,4754.0,5646.0,8260.5,7753.0,6603.375,False
AP1S1,8813.0,9122.0,8260.5,221.5,6604.25,False
NSMCE2,6768.0,3637.0,8260.5,7753.0,6604.625,False
LSM8,3766.0,6640.0,8260.5,7753.0,6604.875,False
GHRL,5758.0,4649.0,8260.5,7753.0,6605.125,False
RNH1,4004.0,6405.0,8260.5,7753.0,6605.625,False
MYO7B,6554.0,3859.0,8260.5,7753.0,6606.625,False
OTUD4,6406.0,4008.0,8260.5,7753.0,6606.875,False
DYNC1I2,6393.0,4021.0,8260.5,7753.0,6606.875,False
