,is_slc
MAR03770,False
MAR03771,False
MAR03772,False
MAR03782,False
MAR03784,False
MAR03839,False
MAR03841,False
MAR03843,False
MAR03845,False
MAR03847,False
MAR03849,False
MAR03852,False
MAR03856,False
MAR03860,False
MAR03883,False
MAR03901,False
MAR03939,False
MAR03974,False
MAR04198,False
MAR04199,False
MAR04200,False
MAR04284,False
MAR04348,False
MAR04467,False
MAR04582,False
MAR04584,False
MAR04696,False
MAR04697,False
MAR04698,False
MAR04699,False
MAR04700,False
MAR04742,False
MAR04788,False
MAR04789,False
MAR04791,False
MAR04792,False
MAR05392,False
MAR05393,False
MAR06409,False
MAR07702,False
MAR07703,False
MAR08433,False
MAR08434,False
MAR08439,False
MAR08440,False
MAR08441,False
MAR08442,False
MAR09718,False
MAR09486,False
MAR04428,False
MAR04429,False
MAR04430,False
MAR04431,False
MAR04437,False
MAR04658,False
MAR04660,False
MAR04712,False
MAR05338,False
MAR05339,False
MAR08783,False
MAR08784,False
MAR04288,False
MAR04596,False
MAR04597,False
MAR04599,False
MAR04667,False
MAR04668,False
MAR04737,False
MAR04739,False
MAR04740,False
MAR06415,False
MAR06974,False
MAR06975,False
MAR06976,False
MAR06977,False
MAR06978,False
MAR06979,False
MAR06980,False
MAR06981,False
MAR06982,False
MAR08017,False
MAR08018,False
MAR08019,False
MAR08021,False
MAR08025,False
MAR08026,False
MAR08027,False
MAR08029,False
MAR03164,False
MAR03166,False
MAR03885,False
MAR04250,False
MAR08091,False
MAR08092,False
MAR08563,False
MAR08566,False
MAR03935,False
MAR04681,False
MAR04682,False
MAR04683,False
MAR04685,False
MAR04686,False
MAR04687,False
MAR04702,False
MAR04703,False
MAR04704,False
MAR06988,False
MAR07689,False
MAR07701,False
MAR08094,False
MAR08529,False
MAR08530,False
MAR08533,False
MAR08534,False
MAR08535,False
MAR08537,False
MAR08541,False
MAR08542,False
MAR08543,False
MAR08544,False
MAR08540,False
MAR03206,False
MAR03208,False
MAR03213,False
MAR03215,False
MAR03747,False
MAR03744,False
MAR03757,False
MAR03761,False
MAR03777,False
MAR03778,False
MAR03795,False
MAR04797,False
MAR06417,False
MAR06419,False
MAR06420,False
