feature,lda_score
MAR11243__sd_flux,2.3073494819913505e+26
MAR05357__sd_flux,2.3073494819913505e+26
MAR11841__cv,2.2968219912323242e+26
MAR04194__ci_upper,2.2941637878551846e+26
MAR00923__sd_flux,2.293827102080559e+26
MAR02783__cv,2.291084280078967e+26
MAR05356__mean_flux,2.2905418804063027e+26
MAR03867__mean_flux,2.289780390368627e+26
MAR03621__sd_flux,2.286485338336863e+26
MAR04291__cv,2.2818418230582254e+26
MAR07884__sd_flux,2.281569884884072e+26
MAR00229__ci_upper,2.2770393315950142e+26
MAR03589__mean_flux,2.276149439366214e+26
MAR06528__cv,2.2751048340767117e+26
MAR03673__sd_flux,2.2751048340767117e+26
MAR04639__cv,2.2751048340767117e+26
MAR20153__mean_flux,2.2728588407367973e+26
MAR00138__cv,2.272847762775896e+26
MAR08145__mean_flux,2.272177384432195e+26
MAR11506__ci_upper,2.2685061604135294e+26
MAR20167__sd_flux,2.2675203868030856e+26
MAR10345__cv,2.2542715020297352e+26
MAR02677__cv,2.2509639770398146e+26
MAR04728__sd_flux,2.250652248027239e+26
MAR04901__sd_flux,2.250652248027239e+26
MAR11262__sd_flux,2.250652248027239e+26
MAR07334__sd_flux,2.243121409545047e+26
MAR03122__ci_lower,2.2379621408754818e+26
MAR11337__sd_flux,2.2348234964997403e+26
MAR04884__sd_flux,2.2308911782197645e+26
MAR04624__mean_flux,2.2308911782197645e+26
MAR11255__mean_flux,2.2308911782197645e+26
MAR03626__ci_lower,2.2287261761019835e+26
MAR03604__mean_flux,2.2215552315248293e+26
MAR06619__cv,2.214043615264641e+26
MAR08860__mean_flux,2.2116067043542454e+26
MAR09749__cv,2.2079918880299733e+26
MAR09862__cv,2.2064036016509e+26
MAR04335__cv,2.2045135759807025e+26
MAR01132__cv,2.2043510164244017e+26
MAR01129__cv,2.2043510164244017e+26
MAR03108__ci_lower,2.200986801779258e+26
MAR08972__mean_flux,2.1954177094727422e+26
MAR04028__mean_flux,2.19409258442126e+26
MAR02836__ci_lower,2.1910498524938452e+26
MAR09137__mean_flux,2.185565341655147e+26
MAR02015__ci_upper,2.1854623905095913e+26
