feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,is_slc
PHLDA1,2686.0,1475.0,16924.0,577.0,5415.5,False
TMEM179B,3336.0,872.0,218.0,17240.5,5416.625,False
ZBTB43,2733.0,1641.0,59.0,17240.5,5418.375,False
PDK4,3387.0,587.0,16924.0,804.0,5425.5,False
BEAN1,1517.0,2373.0,16924.0,896.0,5427.5,False
METTL4,2117.0,2436.0,16924.0,253.0,5432.5,False
SSBP4,1490.0,2660.0,16924.0,663.0,5434.25,False
AC099778.1,1750.0,2754.0,16924.0,320.0,5437.0,False
SAPCD2,1025.0,3260.0,16924.0,542.0,5437.75,False
ETV5,907.0,3669.0,16924.0,253.0,5438.25,False
EXOSC4,2984.0,1680.0,16924.0,172.0,5440.0,False
SEC14L1,2832.0,1625.0,70.0,17240.5,5441.875,False
DCTN6,1810.0,2803.0,16924.0,253.0,5447.5,False
GSDME,2043.0,2591.0,16924.0,253.0,5452.75,False
SLC36A1,2069.0,2715.0,16924.0,104.0,5453.0,True
IFIT5,142.0,4724.0,16924.0,56.0,5461.5,False
CHCHD7,4273.0,461.0,16924.0,191.5,5462.375,False
SLC50A1,523.0,3972.0,16924.0,450.0,5467.25,False
MSRB2,2776.0,1982.0,16924.0,198.0,5470.0,False
KLHDC3,834.0,4068.0,16924.0,74.5,5475.125,False
TUBB,3861.0,632.0,181.0,17240.5,5478.625,False
NFAM1,3129.0,1664.0,16924.0,204.0,5480.25,False
AC136475.5,317.0,3920.0,16924.0,800.0,5490.25,False
GALE,3519.0,650.0,16924.0,869.0,5490.5,False
RPL18A,4441.0,35.0,252.0,17240.5,5492.125,False
RPL32,4425.0,42.0,274.0,17240.5,5495.375,False
CMPK2,4085.0,566.0,92.0,17240.5,5495.875,False
SLC22A31,1019.0,3235.0,16924.0,807.0,5496.25,False
CLEC7A,4119.0,340.0,296.0,17240.5,5498.875,False
RAP1A,1887.0,2379.0,16924.0,815.5,5501.375,False
RPS24,4556.0,29.0,206.0,17240.5,5507.875,False
MRPL41,3684.0,608.0,16924.0,830.5,5511.625,False
RPL27A,2910.0,1870.0,33.0,17240.5,5513.375,False
EEF1D,4478.0,116.0,224.0,17240.5,5514.625,False
AC007952.4,3305.0,1478.0,39.0,17240.5,5515.625,False
MDH1,3670.0,995.0,16924.0,495.0,5521.0,False
RBFA,2293.0,2210.0,16924.0,658.5,5521.375,False
RABAC1,3416.0,853.0,16924.0,897.0,5522.5,False
NKG7,4663.0,30.0,157.0,17240.5,5522.625,False
HLA-DPB1,4678.0,41.0,165.0,17240.5,5531.125,False
LAMTOR2,4954.0,105.0,16924.0,164.5,5536.875,False
