gene,comparison,log2fc,p_value,abs_log2fc
SLC9A8,Fatal_vs_Healthy,0.3853370670520211,2.562143669163401e-34,0.3853370670520211
SLC30A1,Survivor_vs_Healthy,0.2161724901704376,2.562143669163401e-34,0.2161724901704376
SLC25A17,Survivor_vs_Healthy,1.305688557869399,2.562143669163401e-34,1.305688557869399
SLC27A1,Fatal_vs_Healthy,-0.6684413422342836,2.562143669163401e-34,0.6684413422342836
SLC39A1,Survivor_vs_Healthy,1.515650188328709,2.562143669163401e-34,1.515650188328709
SLC25A12,Survivor_vs_Healthy,1.2617965254521994,2.562143669163401e-34,1.2617965254521994
SLC27A1,Survivor_vs_Healthy,-0.6509326324394302,2.562143669163401e-34,0.6509326324394302
SLC9A9,Fatal_vs_Healthy,1.0643117716833255,2.562143669163401e-34,1.0643117716833255
SLC25A13,Survivor_vs_Healthy,0.7846744883223956,2.562143669163401e-34,0.7846744883223956
SLC2A5,Fatal_vs_Healthy,1.9742152342718753,2.562143669163401e-34,1.9742152342718753
SLC36A1,Fatal_vs_Healthy,1.3279391075637987,2.562143669163401e-34,1.3279391075637987
SLC36A4,Survivor_vs_Healthy,0.943385404212586,2.562143669163401e-34,0.943385404212586
SLC27A3,Fatal_vs_Healthy,1.1823798368281933,2.562143669163401e-34,1.1823798368281933
SLC25A11,Fatal_vs_Healthy,1.3731337654700724,2.562143669163401e-34,1.3731337654700724
SLC16A7,Fatal_vs_Healthy,2.7656141521882125,2.562143669163401e-34,2.7656141521882125
SLC7A7,Fatal_vs_Healthy,-0.34158736511820725,2.562143669163401e-34,0.34158736511820725
SLC23A2,Fatal_vs_Healthy,-1.2710812452680282,2.562143669163401e-34,1.2710812452680282
SLC27A4,Fatal_vs_Healthy,3.2115305754837626,2.562143669163401e-34,3.2115305754837626
SLC39A6,Fatal_vs_Healthy,1.3100794452839106,2.562143669163401e-34,1.3100794452839106
SLC15A3,Survivor_vs_Healthy,-0.4306755832926063,2.562143669163401e-34,0.4306755832926063
SLC25A36,Survivor_vs_Healthy,-0.28451179881462824,2.562143669163401e-34,0.28451179881462824
SLCO3A1,Survivor_vs_Healthy,-0.3390743073029366,2.562143669163401e-34,0.3390743073029366
SLC12A7,Fatal_vs_Healthy,-0.9398610020304399,2.562143669163401e-34,0.9398610020304399
